112805	Aznar denies Iraq link  defends role in wake of Madrid bombings MADRID (AFP) - Former Spanish prime minister Jose Maria Aznar rejected the idea that the Madrid train bombings stemmed from his backing for the war in Iraq and told a parliamentary inquiry into the attacks that terrorist groups were inextricably linked.	3	World
114074	Malaysia Airlines Herald Sun Tour of Provincial Victoria - 2.3 and exciting - days on this year #39;s Malaysia Airlines Herald Sun Tour of Provincial Victoria  the lead has swapped hands again  with Bicycle Superstore teammates 	2	Sports
32768	Finally  green signal to Kyoto A GOOD news for environmentalists and all those who love Mother Earth came yesterday with Russia formally declaring that it has ratified the Kyoto protocol.	3	World
25146	Delta fare plan now seems fair Delta Air Lines #39; decision to reduce fares out of Cincinnati/Northern Kentucky International Airport is good news for the region  but the key will be whether the airline is committed to sustaining the reasonable rates. 	0	Business
115685	AGASSI BACK ON TRACK Top seed Andre Agassi began the quest for his second title of year with a comfortable victory in the first round of the Stockholm Open.	2	Sports
99691	Fairchild Sales Not as Bad as Had Thought  NEW YORK (Reuters) - Fairchild Semiconductor International  Inc. on Wednesday said it now expects fourth-quarter sales to  be down about 5 percent from the third quarter  compared with  its previous forecast for a drop of 5 percent to 10 percent.	0	Business
18679	Music fans sound off RealNetworks Inc. urged digital-music lovers yesterday to stand up for their freedom of choice. They responded by exercising their freedom of speech -- much to the company #39;s chagrin. 	1	Sci/Tech
4878	All Options Open for OPEC Meeting - Iran  TEHRAN (Reuters) - All options  including cutting quotas   are up for discussion when OPEC ministers meet in Cairo this  week to plan their response to a sharp fall in prices  Iran's  Oil Minister Bijan Zanganeh said Monday.	0	Business
100290	Deion Sanders Returns to NFL With Ravens (AP) AP - After three seasons away from the NFL  Deion Sanders signed with the Baltimore Ravens on Tuesday.	2	Sports
70112	Haitian death toll rises to 1 500 Relief supplies are reaching Port-au-Prince but are slow to reach hardest-hit Gonaives. A man tries to hang on to a sack of rice he apparently swiped from a truck near Gonaives.	3	World
85941	Crude Oil Jumps to Record on Concern Over Low US Supplies Crude oil prices surged to a record in New York and London on concern that hurricane damage to production platforms in the Gulf of Mexico will keep supplies from rising enough to meet winter needs.	0	Business
110174	Microsoft sets date for Longhorn Microsoft has announced that start shipping its next version of its Windows operating system in 2006. However to meet the new tight deadline a number of technical innovations will have to be dropped from the OS.	1	Sci/Tech
50668	Online Consumers Happiest With Google In a study  the now-public search engine out-ranks Yahoo  others in customer satisfaction. August 23  2004 -- A new study says that Americans are increasingly satisfied by the results hauled in by their online 	1	Sci/Tech
92452	Indian weightlifting federation banned temporarily : The Weightlifting Federation of India has been  quot;temporarily banned quot; from competition pending a decision by the sport #39;s international regulators  officials said on Thursday.	2	Sports
58352	Nintendo boss slams PSP as DS shipment target is raised Sony #39;s forthcoming PlayStation Portable handheld will fail to attract newcomers to gaming  according to Nintendo president Satoru Iwata  whose comments come as shipment targets for the DS are raised once again.	1	Sci/Tech
53740	Patriots Beat Jets  Extend Streak to 21 (AP) AP - Rodney Harrison broke up a fourth-down pass from Chad Pennington with 2:14 remaining  and the New England Patriots held on to extend their NFL victory streak to 21 games in a 13-7 win over the AFC East rival New York Jets.	2	Sports
19512	CA adds antivirus  antispyware to Cisco NAC program Computer Associates International Inc. (CA) said on Wednesday that it was joining a Cisco Systems Inc. program to harden enterprise networks against attacks by enforcing security policies on computer hosts that attempt to access network resources  the company said in a statement.	1	Sci/Tech
18594	Suffocation cited in most deaths At least 84 Muslim protesters died  mostly from suffocation so severe their eyes bled  after being arrested and locked in army trucks following clashes with security forces in the south  officials said yesterday.	3	World
69263	Prosecutor to drop rape charge against Kobe Bryant Prosecutors in the Kobe Bryant rape case will ask a judge on Wednesday to drop the rape charge against the basketball player  a source close to the case said.	2	Sports
37260	Minsheng sells stake to Temasek BEIJING  Nov. 22 (Xinhuaent) -- China #39;s first private lender  Minsheng Bank  has won regulatory approval to sell a 4.55 percent stake to a Singapore government firm  clearing the final hurdle for the investment in a fast-opening financial arena.	0	Business
21579	TI chip brings TV direct to the handset Thanks to a new chip Texas Instruments Inc. is developing  your favorite TV show someday will come to the cell phone nearest to you.	1	Sci/Tech
16730	Italian Women Said Dead in Iraq  UK Hostage Pleads  BAGHDAD (Reuters) - Two Italian women aid workers were  reported killed in Iraq and a British hostage pleaded for his  life after the killing of two Americans  as the latest hostage  crisis put pressure on governments with troops in Iraq.	3	World
46341	Day one goes to rain  Australia A match that assumed grave importance for India as a face saver of sorts has been cut short due to rain. The day was marked by rain and more rain and the only time the umpires decided to start play led to 	2	Sports
19694	Body resembling Japanese captive found A body resembling a Japanese captive has been found in Iraq and is being shipped to Qatar for identification  Japanese officials have said.	3	World
62411	And the winner is  SpaceShipOne SpaceShipOne #39;s successful flights did more than win \$10 million - they proved to the world that space is open for all humanity.	1	Sci/Tech
36907	Anwar awaits key court decision Malaysia #39;s former Deputy Prime Minister Anwar Ibrahim is expected to find out on Wednesday whether he can return immediately to active politics.	3	World
20714	 #39;Wayne Rooney era begins at Manchester United #39; Manchester United Manager Alex Ferguson  calls him the best English player in the last 30 years  and he #39;s expected to debut for the club tomorrow in its Champions League match at Old Trafford against Turkey #39;s Fenerbahce.	2	Sports
62539	U.S. Women Win Third Consecutive Basketball Gold  ATHENS (Reuters) - The U.S. women took their third  consecutive gold medal in Olympic basketball Saturday  breaking  open a close game in the fourth quarter to beat Australia  74-63.	2	Sports
96321	Looking for a 10 NASA will test its latest jet-powered aircraft for the final time next week  aiming to set a world record by flying at 10 times the speed of sound.	1	Sci/Tech
66728	Crisis Over  Afghanistan Heads for Vote Count (Reuters) Reuters - With a threatened boycott its historic\presidential election firmly relegated to the background \Afghanistan took first steps on Tuesday to begin counting\votes.	3	World
12612	DR Horton Net Profit Jumps in 4Q Home builder DR Horton Inc. said Wednesday that fourth-quarter net income surged 52 percent on improved results in all its markets.	0	Business
